,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
0,2.4,2,1,430,3,315,1,9,2,9,1,1,1,1,1,3,3,1,1,5,3,1,2,5,2,5,2,8,5,5,5,1,1,1,5,1,1,2,5,3,1,1,1,1165,345,5,1,1315,187
1,3.654,1,1,610,3,420,2,1,3,1,1,2,2,1,2,2,2,4,1,2,1,1,1,4,4,4,5,3,4,4,4,1,2,4,4,1,1,4,4,3,1,1,2,725,690,4,2,900,155
2,3.2,1,1,430,3,420,2,2,2,2,2,2,2,1,3,2,3,5,3,2,3,1,2,4,4,5,7,2,6,5,5,2,2,4,2,1,1,2,5,5,1,2,5,725,690,3,1,1315,240
3,3.5,1,1,720,2,420,2,1,1,1,2,2,2,3,4,2,2,4,1,4,1,3,1,4,4,4,6,2,6,2,5,1,1,5,3,1,1,4,2,4,1,1,4,940,500,4,2,760,190
4,2.25,1,1,610,3,980,2,4,3,4,2,2,2,1,3,1,3,4,2,1,6,3,1,2,2,2,4,2,1,5,5,4,2,1,1,1,2,5,5,5,1,2,4,940,345,1,2,1315,190
5,3.8,2,1,610,3,420,2,1,2,1,1,3,1,2,5,2,3,5,1,4,4,1,1,4,4,5,4,2,4,5,5,8,1,4,4,2,2,2,5,4,1,1,5,940,690,4,1,1315,180
6,3.3,1,1,720,3,420,1,1,3,1,1,1,2,2,5,2,2,2,2,3,5,1,1,5,2,3,3,2,5,1,3,3,1,2,4,1,1,5,1,3,1,2,1,725,500,4,2,1315,137
7,3.3,1,1,430,3,420,1,2,3,2,1,1,1,2,8,5,2,5,2,5,1,3,1,4,1,5,7,6,5,5,5,8,2,5,2,1,2,3,5,4,2,2,5,725,345,3,2,760,180
8,3.3,1,1,430,3,315,2,1,3,1,1,1,1,1,3,3,3,5,1,5,1,1,1,5,1,5,3,2,4,4,5,3,2,5,5,1,3,3,4,3,1,1,4,580,345,5,1,900,125
9,3.5,1,1,610,3,980,2,2,1,2,1,1,2,3,4,2,1,5,1,2,4,1,1,5,3,1,9,7,3,1,5,8,1,4,2,3,1,2,2,1,1,1,2,940,345,5,2,900,116
10,3.904,1,1,720,4,420,2,3,3,3,1,1,1,4,5,1,2,5,1,3,1,1,1,5,2,5,1,2,5,5,5,1,2,4,5,1,1,3,5,2,1,1,5,940,500,5,1,900,110
11,3.4,2,1,430,3,420,2,3,5,3,1,1,2,2,5,1,3,4,3,3,4,3,1,4,1,3,9,1,5,3,4,9,2,4,2,1,2,2,3,5,2,1,3,940,500,3,2,575,264
12,3.6,1,1,610,3,420,2,1,2,1,1,2,2,1,3,4,2,5,2,2,1,1,1,5,3,4,8,2,5,3,5,10,2,4,2,2,2,3,3,3,1,1,5,1165,850,5,2,1315,123
13,3.1,2,1,610,3,420,2,2,3,2,1,1,2,3,4,2,3,4,2,4,4,3,1,5,3,4,2,1,5,2,3,1,1,4,2,2,2,3,1,3,1,1,4,940,500,5,1,900,185
14,3.1,2,2,430,3,980,2,2,4,2,1,2,2,3,4,4,3,1,1,5,1,2,1,3,1,1,6,2,4,1,5,1,2,4,1,1,2,3,1,2,2,1,1,940,345,1,2,1315,180
15,4,1,1,265,3,420,1,1,3,1,1,1,1,2,5,1,2,2,2,1,7,1,1,5,1,2,7,2,1,5,3,9,2,2,4,1,2,2,2,3,1,2,1,580,345,5,1,760,145
16,3.6,2,1,430,3,980,2,2,3,2,1,3,2,1,2,2,3,4,1,2,5,3,1,3,1,3,8,1,6,3,5,7,2,2,4,1,1,6,2,2,1,1,3,940,500,4,2,900,170
17,3.4,1,1,720,3,980,1,3,3,3,1,1,1,4,6,3,2,1,3,5,5,3,1,5,2,3,6,2,5,1,5,9,2,3,2,1,1,2,1,3,2,2,1,1165,690,5,1,1315,135
18,2.2,2,1,430,2,420,2,2,4,2,1,2,2,3,4,2,3,3,2,5,1,1,1,2,1,3,4,3,5,2,5,7,1,4,1,1,1,3,3,4,1,2,3,940,345,2,2,900,165
19,3.3,2,1,610,3,980,2,7,5,7,1,2,2,1,3,4,2,4,1,5,2,3,1,2,2,2,5,1,6,1,4,2,1,4,2,1,1,2,1,6,1,1,1,1165,850,3,2,1315,175
20,3.87,2,1,610,3,315,1,2,3,2,3,2,2,1,8,1,2,3,1,4,8,2,1,3,4,5,8,7,6,5,5,7,2,2,4,1,3,5,5,2,2,1,5,725,500,2,2,900,195
21,3.7,2,1,610,3,420,1,3,5,3,2,1,1,1,3,1,2,3,1,4,1,1,2,4,1,4,2,2,6,5,5,5,1,4,3,1,3,5,2,2,1,1,4,940,850,3,1,1315,185
22,3.7,2,2,610,3,420,2,1,4,1,1,1,1,1,7,2,2,5,3,4,4,1,1,3,3,2,4,1,4,4,5,5,1,2,2,1,2,3,2,3,1,1,4,940,690,4,1,1315,185
23,3.9,1,1,720,2,420,2,6,1,6,1,1,2,1,2,4,3,4,3,3,4,1,1,4,3,5,5,2,4,3,5,2,2,2,2,1,1,3,3,4,2,2,4,940,500,4,2,1315,105
24,2.8,1,2,720,3,420,2,2,3,2,1,1,1,3,4,2,3,2,1,4,0,3,1,4,1,3,8,2,6,3,3,5,1,3,4,1,1,3,3,3,1,1,3,1165,690,3,2,760,125
25,3.7,2,1,610,2,420,1,2,3,2,1,1,1,1,3,2,2,2,1,4,1,1,1,3,2,1,9,5,5,1,5,9,2,2,2,1,1,4,1,2,2,1,2,1165,850,3,2,1315,160
26,3,2,1,610,4,980,2,2,4,2,1,1,2,2,5,2,3,3,1,5,2,1,1,5,1,3,9,6,6,3,4,9,2,5,4,1,1,6,2,2,1,1,3,1165,500,5,1,1315,175
27,3.2,2,1,610,2,420,2,2,2,2,2,2,1,1,3,2,2,2,2,4,1,1,1,3,3,1,4,7,5,1,5,3,1,4,5,1,1,3,2,3,1,2,1,940,500,2,1,1315,180
28,3.5,2,1,265,2,420,2,2,3,2,2,2,2,1,3,5,3,5,2,5,8,1,1,5,3,3,9,7,5,5,5,10,1,5,2,1,1,4,5,2,1,2,5,580,500,4,1,760,167
29,4,1,1,720,3,420,2,1,3,1,1,1,1,1,7,3,2,4,2,2,2,2,1,3,4,2,7,2,5,3,4,8,2,5,4,3,3,3,2,3,2,1,3,940,500,5,1,1315,115
30,4,2,1,610,3,420,2,1,2,1,1,2,2,3,4,2,3,5,2,4,1,1,1,5,2,5,5,1,4,4,5,3,1,2,4,4,1,3,3,4,2,2,4,940,690,5,1,1315,205
31,3.4,2,1,610,3,315,2,4,5,4,1,2,2,1,3,3,2,5,2,5,2,1,1,4,4,5,5,7,5,5,5,8,1,5,4,1,3,4,5,4,1,1,5,580,345,5,1,760,205
32,2.8,1,1,720,3,420,1,2,4,2,2,2,1,1,3,2,3,4,3,4,1,1,1,3,1,5,7,2,3,2,5,3,1,5,4,1,1,3,2,3,1,2,1,1165,500,3,1,900,128
33,3.65,1,1,610,3,420,2,2,4,2,1,2,1,1,3,3,3,2,1,4,1,3,1,5,1,3,1,7,6,1,5,3,1,4,4,1,5,4,1,2,1,1,3,940,345,4,1,1315,150
